gutuj	SUBST	PLANTO	gutujo	N	KF	NLM	4	R	# OK 植物: ガンボージの木
guĝarat	SUBST	ETNO	guĝarato	N	KF	NLM	4	R	# OK 民族/地名: グジャラート語/州
guĝ	VERBO	N	guĝi	N	KF	NLM	4	R	# OK 動詞: のみで彫る
gvanak	SUBST	ANIMALO	gvanako	N	KF	NLM	4	R	# OK 動物: グアナコ(ラマ科)
gvaran	SUBST	PLANTO	gvarano	N	KF	NLM	4	R	# OK 植物: グアラナ(薬用植物)
gvemul	SUBST	ANIMALO	gvemulo	N	KF	NLM	4	R	# OK 動物: ゲーミュル(魚類)
gveril	SUBST	PROFESIO	gverilo	N	KF	NLM	4	R	# OK 職業: ゲリラ兵
hadean	SUBST	N	hadeano	N	KF	NLM	4	R	# OK 地質学: 冥王代(地質時代)
hagis	SUBST	N	hagiso	N	KF	NLM	4	R	# OK 料理: ハギス(スコットランド料理)
hajduk	SUBST	PROFESIO	hajduko	N	KF	NLM	4	R	# OK 歴史: ハイドゥク(東欧の盗賊/兵士)
halanĝ	SUBST	ANIMALO	halanĝo	N	KF	NLM	4	R	# OK 動物: ハランジ(猿の一種)
haliaet	SUBST	BIRDO	haliaeto	N	KF	NLM	4	R	# OK 鳥類: ミサゴ、魚鷹
halit	SUBST	KEMIAJXO	halito	N	KF	NLM	4	R	# OK 鉱物学: 岩塩、ハライト
halofit	SUBST	PLANTO	halofito	N	KF	NLM	4	R	# OK 植物: 塩生植物
haloid	SUBST	KEMIAJXO	haloido	N	KF	NLM	4	R	# OK 化学: ハロゲン化物
halucinoz	SUBST	MALSANO	halucinozo	N	KF	NLM	4	R	# OK 医学: 幻覚症
halva	SUBST	N	halvao	N	KF	NLM	4	R	# OK 料理: ハルヴァ(中東の菓子)
hamadriad	SUBST	ANIMALO	hamadriado	N	KF	NLM	4	R	# OK 動物: ハマドリアスヒヒ
hamiltonian	SUBST	N	hamiltoniano	N	KF	NLM	4	R	# OK 物理学: ハミルトニアン
hanap	SUBST	N	hanapo	N	KF	NLM	4	R	# OK 歴史: ハナップ(中世の杯)
handspek	SUBST	ILO	handspeko	N	KF	NLM	4	R	# OK 道具: ハンドスパイク(てこ棒)
hans	ADJ	N	hansa	N	KF	NLM	4	R	# OK 形容詞: ハンザの
hansan	SUBST	PROFESIO	hansano	N	KF	NLM	4	R	# OK 歴史: ハンザ同盟員
haom	SUBST	RELIGIO	haomo	N	KF	NLM	4	R	# OK 宗教: ハオマ(ゾロアスター教の聖植物)
